Ano, Mes, Dia, Hora, U, V, UI
1967,1,1,0,2.8922,6.1728,-708.84
1967,1,1,6,2.8922,6.1728,-708.84
1967,1,1,12,3.1944,-0.94334,52.93
1967,1,1,18,-0.89964,3.3575,-196.6
1967,1,2,0,-0.89964,3.3575,-196.6
1967,1,2,6,0.25795,4.0275,-273.81
1967,1,2,12,0.098399,3.6249,-221.43
1967,1,2,18,-0.38024,2.4171,-99.629
1967,1,3,0,-0.62132,6.311,-674.17
1967,1,3,6,0.6178,2.6845,-124.57
1967,1,3,12,2.1352,2.0116,-99.405
1967,1,3,18,1.0761,4.9665,-425.15
1967,1,4,0,0.55666,5.9069,-590.36
1967,1,4,6,-1.0184,0.80669,-17.655
1967,1,4,12,3.6731,0.26448,-16.407
1967,1,4,18,6.029,-0.54367,55.44
1967,1,5,0,6.3277,1.3357,-145.51
1967,1,5,6,8.8228,2.0042,-305.46
1967,1,5,12,5.951,-5.2427,700.43
1967,1,5,18,-0.59742,-3.7587,240.97
1967,1,6,0,-3.7307,-6.0376,721.84
1967,1,6,6,-6.1682,-0.93305,98.052
1967,1,6,12,-4.7899,-3.0827,295.8
1967,1,6,18,-3.4728,-2.0101,135.87
1967,1,7,0,-4.4708,-2.2775,192.5
1967,1,7,6,1.3987,-3.2238,190.84
1967,1,7,12,7.8079,-6.1846,1037.7
1967,1,7,18,11.461,-4.846,1015.8
1967,1,8,0,6.0494,-1.6178,170.65
1967,1,8,6,3.7546,-4.032,374.2
1967,1,8,12,1.4394,-5.372,503.29
1967,1,8,18,-0.25795,-4.0275,273.81
1967,1,9,0,-3.2352,3.0916,-233.04
1967,1,9,6,-6.1886,0.14107,-14.71
1967,1,9,12,-9.6817,-0.79492,130.08
1967,1,9,18,-16.169,-2.5332,698.39
1967,1,10,0,-22.137,-5.2118,1996.7
1967,1,10,6,-13.511,-10.458,3009.7
1967,1,10,12,-7.1831,-9.1219,1784.1
1967,1,10,18,-9.1012,-4.9577,865.52
1967,1,11,0,-3.0349,1.3459,-75.274
1967,1,11,6,-5.1498,-1.7397,159.3
1967,1,11,12,-4.851,0.1396,-11.412
1967,1,11,18,-3.1537,-1.2049,68.522
1967,1,12,0,-4.352,0.27331,-20.076
1967,1,12,6,-2.9941,-0.80227,41.892
1967,1,12,12,-3.6323,-2.4127,177.23
1967,1,12,18,-5.8287,-1.2019,120.5
1967,1,13,0,-6.7284,2.1556,-256.55
1967,1,13,6,-6.6876,0.0073536,-0.82842
1967,1,13,12,-4.352,0.27331,-20.076
1967,1,13,18,-4.352,0.27331,-20.076
1967,1,14,0,-5.2517,3.6308,-390.5
1967,1,14,6,-4.773,4.8386,-553.99
1967,1,14,12,-3.6154,5.5087,-611.45
1967,1,14,18,-1.6974,1.3445,-49.041
1967,1,15,0,-1.1984,1.4782,-47.384
1967,1,15,6,-1.6974,1.3445,-49.041
1967,1,15,12,-2.3967,2.9564,-189.54
1967,1,15,18,-2.7362,3.2253,-229.8
1967,1,16,0,-3.1368,6.7165,-838.71
1967,1,16,6,0.87575,6.7121,-765.36
1967,1,16,12,1.7142,6.5769,-753.01
1967,1,16,18,1.5751,5.1002,-458.6
1967,1,17,0,2.0333,7.3821,-952.19
1967,1,17,6,2.7327,5.7702,-620.59
1967,1,17,12,3.4116,5.2324,-550.57
1967,1,17,18,3.3709,7.3807,-1008.8
1967,1,18,0,5.9644,11.674,-2578.1
1967,1,18,6,6.9013,15.164,-4255.8
1967,1,18,12,9.376,16.907,-5505.8
1967,1,18,18,9.1384,11.805,-2968.7
1967,1,19,0,8.9993,10.328,-2383.4
1967,1,19,6,7.0439,7.6451,-1338.8
1967,1,19,12,8.962,3.4809,-563.76
1967,1,19,18,5.5876,5.0958,-649.15
1967,1,20,0,6.8436,9.3908,-1838.2
1967,1,20,6,8.7413,6.3007,-1143.7
1967,1,20,12,10.398,7.1044,-1507.1
1967,1,20,18,9.8989,6.9707,-1421.7
1967,1,21,0,11.576,6.7003,-1509.7
1967,1,21,6,7.3054,2.6772,-350.89
1967,1,21,12,9.882,-0.95069,158.99
1967,1,21,18,5.0514,-1.8852,171.22
1967,1,22,0,4.4708,2.2775,-192.5
1967,1,22,6,6.5245,8.5855,-1559.6
1967,1,22,12,7.699,17.177,-5446.6
1967,1,22,18,11.773,13.95,-4289.6
1967,1,23,0,13.871,9.1145,-2548.3
1967,1,23,6,11.416,6.2977,-1383.2
1967,1,23,12,10.758,5.7614,-1184.4
1967,1,23,18,12.635,3.7454,-831.47
1967,1,24,0,8.2831,4.0187,-623.25
1967,1,24,6,8.2831,4.0187,-623.25
1967,1,24,12,9.7766,13.415,-3751.3
1967,1,24,18,7.6414,11.404,-2637
1967,1,25,0,3.7883,11.811,-2467.8
1967,1,25,6,7.0235,8.7192,-1644.5
1967,1,25,12,5.2278,6.4388,-899.58
1967,1,25,18,9.5594,7.2396,-1462.4
1967,1,26,0,8.3203,10.866,-2505.1
1967,1,26,6,8.3203,10.866,-2505.1
1967,1,26,12,9.797,12.341,-3275.8
1967,1,26,18,6.1443,11.003,-2335.7
1967,1,27,0,2.0502,15.304,-3980.4
1967,1,27,6,3.4285,13.154,-3012
1967,1,27,12,4.2466,14.093,-3494.2
1967,1,27,18,1.7923,11.276,-2168.7
1967,1,28,0,4.5657,14.898,-3910.5
1967,1,28,6,5.764,13.42,-3301.7
1967,1,28,12,4.9459,12.481,-2822.6
1967,1,28,18,5.6045,13.017,-3107.7
1967,1,29,0,4.0667,14.764,-3808.8
1967,1,29,6,6.5618,15.433,-4359.7
1967,1,29,12,6.4226,13.956,-3611.8
1967,1,29,18,2.1114,12.081,-2495.9
1967,1,30,0,1.8534,8.0536,-1121.2
1967,1,30,6,2.0741,5.2339,-496.37
1967,1,30,12,2.9737,1.8764,-111.14
1967,1,30,18,-0.061147,3.2223,-174.94
1967,1,31,0,-0.10191,5.3706,-485.96
1967,1,31,6,-3.8326,-0.66709,43.716
1967,1,31,12,-2.8142,-1.4738,78.867
1967,1,31,18,-3.4728,-2.0101,135.87
1967,2,1,0,-2.7158,2.1512,-125.55
1967,2,1,6,-4.8714,1.2137,-102.64
1967,2,1,12,-3.1741,-0.13077,6.998
1967,2,1,18,-4.1517,-1.4723,109.25
1967,2,2,0,-3.4931,-0.93599,57.02
1967,2,2,6,-2.1352,-2.0116,99.405
1967,2,2,12,-1.8162,-1.2064,44.307
1967,2,2,18,-1.6566,-0.80374,24.93
1967,2,3,0,-5.8899,2.0204,-211.92
1967,2,3,6,-4.352,0.27331,-20.076
1967,2,3,12,-4.6711,-0.53191,42.125
1967,2,3,18,-6.4873,-1.7383,196.66
1967,2,4,0,-3.6899,-8.1859,1238.2
1967,2,4,6,-5.8287,-1.2019,120.5
1967,2,4,12,-8.1439,-2.542,365.32
1967,2,4,18,-6.4465,-3.8865,492.82
1967,2,5,0,-6.4465,-3.8865,492.82
1967,2,5,6,-6.8879,1.753,-209.88
1967,2,5,12,-3.7307,-6.0376,721.84
1967,2,5,18,-7.285,-3.7513,517.8
1967,2,6,0,-12.116,-4.6858,1025.4
1967,2,6,6,-8.0047,-1.0653,144.91
1967,2,6,12,-7.0847,-5.4969,830.33
1967,2,6,18,-8.0827,-5.7643,964
1967,2,7,0,-9.0028,-1.3327,204.32
1967,2,7,6,-10.7,0.011766,-2.1208
1967,2,7,12,-10.7,0.011766,-2.1208
1967,2,7,18,-9.5018,-1.4664,237.5
1967,2,8,0,-9.5833,2.83,-476.37
1967,2,8,6,-9.5833,2.83,-476.37
1967,2,8,12,-6.8268,-1.4694,172.85
1967,2,8,18,-6.528,0.40996,-45.171
1967,2,9,0,-10.782,4.3082,-842.62
1967,2,9,6,-7.5261,0.14254,-18.074
1967,2,9,12,-9.2031,0.4129,-64.077
1967,2,9,18,-6.9863,-1.872,228.08
