Kernel,Degree,Metric,Score,Data Type
rbf,,Train C+1,54.0,Train
poly,2.0,Train C+1,65.0,Train
poly,3.0,Train C+1,80.0,Train
poly,4.0,Train C+1,99.0,Train
poly,5.0,Train C+1,122.0,Train
rbf,,Train C-1,1120.0,Train
poly,2.0,Train C-1,1115.0,Train
poly,3.0,Train C-1,1121.0,Train
poly,4.0,Train C-1,1131.0,Train
poly,5.0,Train C-1,1133.0,Train
rbf,,Train M+1,144.0,Train
poly,2.0,Train M+1,133.0,Train
poly,3.0,Train M+1,118.0,Train
poly,4.0,Train M+1,99.0,Train
poly,5.0,Train M+1,76.0,Train
rbf,,Train M-1,15.0,Train
poly,2.0,Train M-1,20.0,Train
poly,3.0,Train M-1,14.0,Train
poly,4.0,Train M-1,4.0,Train
poly,5.0,Train M-1,2.0,Train
rbf,,Train F1,0.8551123734818985,Train
poly,2.0,Train F1,0.8650274822909161,Train
poly,3.0,Train F1,0.8855097324434397,Train
poly,4.0,Train F1,0.9120889403867124,Train
poly,5.0,Train F1,0.9356852931355495,Train
rbf,,Train Precision,0.870707220008084,Train
poly,2.0,Train Precision,0.8743092518039013,Train
poly,3.0,Train Precision,0.896785746588623,Train
poly,4.0,Train Precision,0.92569919060395,Train
poly,5.0,Train Precision,0.9440796923796706,Train
rbf,,Train Specificity,0.986784140969163,Train
poly,2.0,Train Specificity,0.9823788546255506,Train
poly,3.0,Train Specificity,0.9876651982378855,Train
poly,4.0,Train Specificity,0.9964757709251101,Train
poly,5.0,Train Specificity,0.9982378854625551,Train
rbf,,Train Sensitivity,0.8807201800450113,Train
poly,2.0,Train Sensitivity,0.8852213053263316,Train
poly,3.0,Train Sensitivity,0.9009752438109527,Train
poly,4.0,Train Sensitivity,0.9227306826706677,Train
poly,5.0,Train Sensitivity,0.9414853713428357,Train
rbf,,Train Kappa,0.3549744816441308,Train
poly,2.0,Train Kappa,0.40639852843159796,Train
poly,3.0,Train Kappa,0.5001420406122519,Train
poly,4.0,Train Kappa,0.6190847424711121,Train
poly,5.0,Train Kappa,0.7264720274017289,Train
rbf,,Test C+1,20.0,Val
poly,2.0,Test C+1,25.0,Val
poly,3.0,Test C+1,27.0,Val
poly,4.0,Test C+1,26.0,Val
poly,5.0,Test C+1,26.0,Val
rbf,,Test C-1,542.0,Val
poly,2.0,Test C-1,539.0,Val
poly,3.0,Test C-1,534.0,Val
poly,4.0,Test C-1,526.0,Val
poly,5.0,Test C-1,521.0,Val
rbf,,Test M+1,80.0,Val
poly,2.0,Test M+1,75.0,Val
poly,3.0,Test M+1,73.0,Val
poly,4.0,Test M+1,74.0,Val
poly,5.0,Test M+1,74.0,Val
rbf,,Test M-1,16.0,Val
poly,2.0,Test M-1,19.0,Val
poly,3.0,Test M-1,24.0,Val
poly,4.0,Test M-1,32.0,Val
poly,5.0,Test M-1,37.0,Val
rbf,,Test F1,0.8237312378972504,Val
poly,2.0,Test F1,0.8327780486483557,Val
poly,3.0,Test F1,0.8317652029894583,Val
poly,4.0,Test F1,0.8204159151942392,Val
poly,5.0,Test F1,0.8148675479664382,Val
rbf,,Test Precision,0.8233846000145515,Val
poly,2.0,Test Precision,0.8307881044037395,Val
poly,3.0,Test Precision,0.8264955812322475,Val
poly,4.0,Test Precision,0.8115616811654963,Val
poly,5.0,Test Precision,0.8052758692129333,Val
rbf,,Test Specificity,0.9713261648745519,Val
poly,2.0,Test Specificity,0.9659498207885304,Val
poly,3.0,Test Specificity,0.956989247311828,Val
poly,4.0,Test Specificity,0.942652329749104,Val
poly,5.0,Test Specificity,0.9336917562724014,Val
rbf,,Test Sensitivity,0.8541033434650456,Val
poly,2.0,Test Sensitivity,0.8571428571428571,Val
poly,3.0,Test Sensitivity,0.8525835866261399,Val
poly,4.0,Test Sensitivity,0.8389057750759878,Val
poly,5.0,Test Sensitivity,0.831306990881459,Val
rbf,,Test Kappa,0.2323546568150885,Val
poly,2.0,Test Kappa,0.28038905435591954,Val
poly,3.0,Test Kappa,0.2841248121312725,Val
poly,4.0,Test Kappa,0.24485730371140269,Val
poly,5.0,Test Kappa,0.22836858452891573,Val
