Kernel,Degree,Metric,Score,Data Type
rbf,,Train C+1,25.0,Train
rbf,,Train C+1,35.0,Train
rbf,,Train C+1,49.0,Train
poly,2.0,Train C+1,31.0,Train
poly,2.0,Train C+1,40.0,Train
poly,2.0,Train C+1,52.0,Train
poly,3.0,Train C+1,31.0,Train
poly,3.0,Train C+1,47.0,Train
poly,3.0,Train C+1,69.0,Train
poly,4.0,Train C+1,43.0,Train
poly,4.0,Train C+1,67.0,Train
poly,4.0,Train C+1,87.0,Train
poly,5.0,Train C+1,50.0,Train
poly,5.0,Train C+1,87.0,Train
poly,5.0,Train C+1,122.0,Train
rbf,,Train C-1,407.0,Train
rbf,,Train C-1,829.0,Train
rbf,,Train C-1,1242.0,Train
poly,2.0,Train C-1,406.0,Train
poly,2.0,Train C-1,826.0,Train
poly,2.0,Train C-1,1243.0,Train
poly,3.0,Train C-1,412.0,Train
poly,3.0,Train C-1,826.0,Train
poly,3.0,Train C-1,1247.0,Train
poly,4.0,Train C-1,410.0,Train
poly,4.0,Train C-1,832.0,Train
poly,4.0,Train C-1,1247.0,Train
poly,5.0,Train C-1,415.0,Train
poly,5.0,Train C-1,833.0,Train
poly,5.0,Train C-1,1257.0,Train
rbf,,Train M+1,55.0,Train
rbf,,Train M+1,119.0,Train
rbf,,Train M+1,178.0,Train
poly,2.0,Train M+1,49.0,Train
poly,2.0,Train M+1,114.0,Train
poly,2.0,Train M+1,175.0,Train
poly,3.0,Train M+1,49.0,Train
poly,3.0,Train M+1,107.0,Train
poly,3.0,Train M+1,158.0,Train
poly,4.0,Train M+1,37.0,Train
poly,4.0,Train M+1,87.0,Train
poly,4.0,Train M+1,140.0,Train
poly,5.0,Train M+1,30.0,Train
poly,5.0,Train M+1,67.0,Train
poly,5.0,Train M+1,105.0,Train
rbf,,Train M-1,10.0,Train
rbf,,Train M-1,9.0,Train
rbf,,Train M-1,18.0,Train
poly,2.0,Train M-1,11.0,Train
poly,2.0,Train M-1,12.0,Train
poly,2.0,Train M-1,17.0,Train
poly,3.0,Train M-1,5.0,Train
poly,3.0,Train M-1,12.0,Train
poly,3.0,Train M-1,13.0,Train
poly,4.0,Train M-1,7.0,Train
poly,4.0,Train M-1,6.0,Train
poly,4.0,Train M-1,13.0,Train
poly,5.0,Train M-1,2.0,Train
poly,5.0,Train M-1,5.0,Train
poly,5.0,Train M-1,3.0,Train
rbf,,Train F1,0.8469747107067395,Train
rbf,,Train F1,0.8390990058078164,Train
rbf,,Train F1,0.836259188255093,Train
